PM10,NO2,SO2,CO,O3,temperature,humidity,wind_speed,PM2.5
92.1,48.75,23.88,2.16,76.25,19.0,50.02,7.15,49.7
104.53,50.15,25.04,2.371,76.97,31.8,53.76,7.7,54.45
152.08,74.29,34.16,3.211,81.67,26.92,47.71,5.05,82.84
186.2,89.7,44.24,4.308,100.88,27.77,45.42,3.37,115.86
59.1,34.12,14.0,1.339,84.77,26.17,75.27,9.75,38.49
150.69,79.83,34.74,3.325,95.7,28.59,48.09,3.61,69.35
134.36,68.52,34.7,3.172,89.25,23.79,50.97,5.23,77.44
158.24,66.21,36.7,3.55,92.78,23.18,54.1,4.1,109.33
71.24,37.06,18.19,1.781,73.38,17.81,64.64,7.33,46.34
24.03,17.6,3.41,0.286,57.35,17.03,63.12,8.91,15.09
74.05,33.57,18.29,1.409,84.05,25.01,65.68,9.11,45.51
219.05,105.43,52.38,4.924,110.14,37.56,51.41,2.06,99.39
230.29,107.21,52.83,5.066,109.59,30.96,56.92,1.41,132.62
35.06,15.01,7.1,0.44,65.46,18.8,54.81,8.25,24.12
109.03,49.25,22.68,2.552,88.43,32.09,55.17,6.01,69.96
217.67,101.67,48.87,4.91,100.77,29.48,52.19,2.45,135.36
251.19,110.6,58.15,5.524,110.96,39.79,41.3,2.13,158.39
147.67,74.63,33.24,3.286,90.29,30.15,43.85,5.13,65.33
89.66,41.17,21.09,1.893,81.85,23.98,60.83,5.1,54.27
158.87,75.43,39.4,3.447,93.03,21.94,49.98,3.73,105.09
215.69,99.26,48.16,5.0,109.87,33.36,41.85,3.42,140.09
51.64,26.05,13.99,1.074,75.14,28.03,62.71,7.84,35.91
58.3,33.05,12.75,1.194,52.1,22.76,59.64,7.72,38.21
137.79,66.17,30.51,2.867,96.14,37.45,46.6,5.19,62.48
43.1,22.19,10.91,0.662,75.15,21.95,71.63,8.26,26.56
203.78,95.21,47.84,4.456,107.03,26.01,33.95,4.05,110.68
112.34,50.69,29.76,2.6,90.41,20.98,48.75,6.31,57.86
214.15,98.26,45.96,4.668,98.44,34.97,41.31,2.48,108.2
229.48,120.17,52.43,5.279,119.22,32.72,43.23,2.52,165.32
168.34,83.87,39.32,4.019,106.68,30.15,62.48,5.37,95.84
73.11,38.68,15.36,1.602,70.92,28.36,71.03,6.64,45.59
136.5,62.09,30.65,3.036,97.11,23.93,49.35,4.78,65.21
85.87,42.3,20.63,2.051,75.74,25.81,43.15,6.32,48.97
162.6,83.77,39.0,4.01,90.38,31.29,39.79,2.62,82.47
184.19,85.38,39.18,4.283,113.51,28.81,48.09,4.16,102.35
208.85,107.49,52.32,5.005,112.48,29.97,44.15,2.32,98.38
103.61,54.04,27.7,2.371,80.38,22.54,58.76,6.14,74.05
192.28,94.02,46.72,4.509,107.92,26.38,56.13,3.42,111.28
64.95,33.39,12.05,1.306,67.87,22.42,70.88,6.72,45.03
113.01,51.18,29.98,2.69,85.68,25.64,55.18,5.21,80.9
63.37,25.22,10.99,1.287,69.76,27.87,55.75,8.14,42.51
207.58,102.18,48.74,4.701,107.15,32.35,44.8,3.11,114.09
196.09,98.38,45.92,4.396,103.66,24.69,44.4,3.28,130.26
177.92,86.12,46.11,4.127,99.29,36.22,56.47,4.11,103.77
86.64,39.5,21.03,2.355,80.12,20.57,48.8,6.21,41.1
189.84,88.71,42.6,4.351,114.26,22.38,51.17,3.94,80.81
193.34,93.15,41.02,4.303,99.41,37.22,48.97,5.22,100.22
211.44,102.12,47.14,4.616,100.96,32.41,45.7,4.15,96.8
81.8,36.01,16.51,1.854,83.01,23.52,46.41,6.83,51.96
97.06,52.16,25.27,2.075,74.84,17.87,57.13,5.44,48.24
237.21,109.97,53.89,5.553,120.47,39.4,36.45,3.47,161.73
77.61,45.17,22.34,1.871,77.18,24.86,68.63,7.79,49.09
71.58,42.89,20.12,1.782,88.29,28.98,65.24,7.07,37.47
42.3,24.71,12.08,0.928,69.86,24.12,60.0,8.11,29.49
166.62,88.74,41.29,3.846,110.17,24.86,44.32,4.98,84.84
31.68,9.23,5.87,0.284,63.54,21.13,65.66,8.32,17.76
246.09,115.58,55.76,5.305,105.7,36.75,48.02,1.9,129.5
245.66,113.98,51.46,5.431,106.59,36.75,55.46,1.59,135.98
237.54,109.57,56.69,5.303,117.56,43.53,45.7,3.37,125.97
62.02,27.75,15.49,1.264,63.8,20.57,60.64,7.31,31.25
28.08,16.23,11.14,0.552,64.56,21.27,74.51,8.8,18.44
68.27,33.23,15.94,1.245,78.27,16.22,64.1,8.01,29.25
27.86,15.43,3.39,0.234,61.72,23.49,65.95,9.39,15.47
101.87,48.51,24.45,2.168,88.78,24.23,56.58,7.09,48.53
198.15,89.57,43.96,4.184,106.24,32.73,59.32,3.55,98.15
159.7,78.67,37.71,3.842,92.99,29.78,43.26,4.28,70.84
12.04,3.62,5.47,0.313,58.8,16.0,66.98,7.48,6.44
236.89,113.97,57.57,5.434,113.91,32.89,42.0,3.1,121.08
27.06,10.5,3.95,0.646,55.08,21.52,61.79,7.96,16.93
181.55,86.75,40.59,4.289,104.68,30.65,47.62,3.65,99.79
104.11,39.63,21.17,2.162,92.28,20.77,50.89,6.59,75.06
152.77,66.57,34.87,3.094,103.43,26.66,55.9,5.73,87.16
24.49,10.17,4.62,0.595,61.84,17.3,57.94,9.0,15.51
224.98,105.29,47.64,5.007,102.07,37.22,49.29,4.11,96.03
259.86,109.99,55.91,5.568,107.32,28.26,54.75,0.2,176.94
184.06,92.38,41.67,4.32,121.73,35.01,51.21,2.8,118.23
137.58,63.47,34.03,3.318,88.25,24.2,63.21,5.63,63.38
93.59,42.03,20.14,2.365,84.44,18.95,65.87,6.9,60.47
68.86,31.41,10.37,1.411,87.31,20.51,74.29,8.68,42.74
222.28,97.37,47.35,5.061,108.2,26.98,41.06,2.76,105.41
71.78,38.31,17.12,1.573,59.19,22.57,67.6,7.75,33.15
29.48,18.35,6.57,0.515,67.19,24.17,64.46,8.24,18.33
215.08,107.77,51.43,5.033,101.91,28.94,38.72,3.6,93.61
26.74,11.4,5.83,0.333,66.6,18.35,63.32,8.81,13.04
44.41,21.42,6.68,1.066,72.76,14.41,65.0,7.79,30.58
245.08,117.11,57.19,5.197,121.55,37.9,52.01,1.73,153.27
169.14,76.25,39.1,3.639,90.37,23.14,47.93,5.19,96.78
149.35,71.57,37.49,3.528,96.42,26.39,46.6,5.76,76.72
216.83,98.99,52.63,5.133,121.06,32.84,39.77,3.57,142.29
167.08,81.07,38.63,3.606,89.37,31.3,50.01,3.55,112.77
113.95,50.91,25.44,2.41,95.25,25.67,68.61,5.94,64.07
236.33,105.06,57.29,5.543,117.16,31.77,22.91,2.05,104.28
136.84,65.51,29.35,2.882,90.96,33.22,53.0,5.0,75.93
136.59,62.68,31.28,2.927,89.2,24.49,54.4,6.42,91.35
63.97,30.45,15.38,1.563,72.27,25.14,52.28,6.5,31.31
135.76,65.45,30.21,3.009,92.21,28.26,46.75,6.55,87.96
75.88,37.57,19.97,1.811,73.69,26.1,51.23,6.95,52.7
69.74,36.01,17.99,1.178,67.73,28.28,74.45,6.97,41.51
184.43,72.75,44.75,4.091,100.33,27.37,54.52,5.58,129.05
135.42,69.7,34.54,3.107,75.54,27.26,50.73,7.06,89.01
98.57,47.47,23.17,2.451,85.65,27.08,55.32,5.33,51.79
162.95,73.2,35.72,3.466,95.86,25.61,41.19,3.99,97.94
28.05,9.01,2.32,0.391,54.38,17.49,65.43,8.71,14.23
81.02,41.54,19.08,2.008,82.47,21.01,44.7,6.51,42.68
208.13,103.86,46.52,4.686,105.86,35.89,38.79,2.65,144.87
243.8,122.3,55.61,5.556,106.35,38.03,52.16,2.13,162.97
161.51,74.77,33.91,3.628,99.12,28.75,33.19,4.25,108.52
155.17,75.37,37.54,3.746,91.93,30.33,60.01,3.78,102.72
207.42,106.43,47.96,4.751,122.2,29.57,55.97,1.85,131.8
235.37,110.38,54.62,5.462,115.74,38.25,50.69,1.93,140.52
163.5,80.12,38.62,3.535,98.54,23.02,44.64,4.41,73.41
24.44,22.09,7.33,0.491,66.69,21.18,63.57,8.84,18.2
83.64,32.54,20.84,1.919,81.67,26.39,68.31,6.53,50.55
210.56,101.5,47.98,4.886,115.11,28.45,42.16,3.67,112.25
82.5,39.32,16.68,1.511,77.35,27.83,55.83,7.74,46.72
133.06,62.66,34.36,3.156,81.95,26.93,48.69,5.88,95.27
150.4,71.82,36.79,3.349,97.98,24.41,48.84,4.7,100.01
181.06,86.44,39.56,4.238,104.39,35.62,54.81,4.59,83.74
238.57,111.17,57.31,5.266,119.09,31.38,49.72,1.58,143.24
161.47,72.52,37.76,3.746,98.77,31.18,56.6,3.01,111.59
