PM10,NO2,SO2,CO,O3,temperature,humidity,wind_speed,PM2.5
87.13,37.19,19.34,1.757,75.92,26.12,49.9,5.82,60.33
113.03,58.7,28.29,2.381,84.85,25.49,58.17,5.25,65.78
140.14,67.75,28.84,3.11,83.79,35.08,60.96,4.39,71.13
162.78,75.24,37.93,3.742,92.78,27.06,52.57,4.92,94.21
191.6,82.89,43.1,4.008,113.68,26.99,49.73,5.62,137.72
109.52,60.2,23.63,2.324,87.12,22.48,61.08,5.38,49.24
28.14,18.87,8.11,0.535,78.35,21.89,62.55,8.76,14.68
244.23,110.77,57.38,5.595,131.28,36.65,58.83,2.92,160.84
104.81,41.87,24.14,2.119,68.46,25.87,59.57,6.26,53.75
105.33,48.18,23.05,2.22,67.13,29.43,58.47,6.74,77.72
202.11,91.46,49.08,4.606,117.55,39.28,60.33,3.5,99.97
139.1,58.35,33.02,3.028,93.66,28.1,46.62,4.85,63.49
96.37,47.72,19.26,2.043,76.79,22.52,47.59,5.09,65.27
123.71,58.57,25.43,2.642,89.07,24.63,70.89,4.58,64.54
6.7,11.62,4.39,0.189,62.46,19.78,74.99,8.45,3.67
82.79,33.9,17.12,1.437,78.16,29.24,61.56,9.15,48.8
210.71,103.71,45.98,4.852,104.67,30.02,58.29,3.1,148.04
245.69,102.41,53.2,5.294,107.97,31.84,46.98,2.04,157.04
139.9,73.51,30.89,2.947,91.69,31.92,47.92,4.67,98.73
10.54,5.08,5.74,0.321,68.65,19.2,79.67,8.81,8.66
101.01,45.09,25.64,2.161,90.61,28.09,61.19,7.8,59.63
123.87,55.85,28.88,2.813,100.64,18.76,58.14,5.38,58.23
18.21,15.66,6.67,0.021,69.0,23.28,58.39,9.28,9.41
190.57,85.86,44.28,4.251,108.36,34.7,57.22,4.47,133.11
159.21,80.0,37.7,3.832,94.99,32.08,64.61,2.19,99.2
46.26,24.85,11.04,0.885,65.65,18.41,56.33,9.26,22.91
137.03,61.3,26.84,2.985,96.16,31.65,55.7,5.33,79.86
10.59,12.87,3.87,0.05,88.3,22.98,58.31,8.37,3.77
169.48,74.19,36.88,3.539,92.45,34.7,40.65,4.19,87.23
15.76,13.33,1.72,0.429,72.23,19.44,60.82,8.4,7.08
134.99,71.69,30.4,2.827,94.09,25.5,69.64,4.08,88.08
