PM10,NO2,SO2,CO,O3,temperature,humidity,wind_speed,PM2.5
24.54,18.14,9.01,0.451,78.84,25.72,69.99,9.46,10.07
88.66,43.9,23.37,2.036,82.9,28.95,58.77,6.73,63.67
75.95,30.13,18.83,1.661,79.43,18.21,58.73,6.98,48.58
66.68,31.29,18.54,1.455,73.19,16.01,58.29,7.0,30.86
183.79,86.4,38.92,4.088,104.33,30.7,56.47,5.15,87.09
160.79,77.72,31.73,3.374,84.89,29.66,62.22,4.44,68.74
21.81,12.54,6.51,0.609,61.85,27.12,58.58,7.99,10.55
106.91,53.8,24.26,2.319,78.28,24.82,56.25,7.36,50.61
48.04,31.66,15.65,1.309,79.55,16.78,72.79,7.37,33.96
84.14,46.18,21.6,2.067,67.56,31.09,57.85,6.51,48.79
95.09,54.79,23.77,2.139,87.89,24.13,53.32,6.6,49.74
40.64,25.73,8.27,0.979,53.88,18.57,66.22,8.15,28.2
145.77,72.74,32.95,3.385,82.39,27.01,65.37,4.87,97.31
78.6,41.21,16.46,1.964,73.73,19.59,67.61,6.96,46.45
65.82,36.16,17.46,1.441,78.26,30.52,62.58,6.93,37.03
216.8,99.51,45.88,4.687,106.36,33.71,59.26,3.93,105.63
95.52,46.84,25.39,2.367,77.13,30.75,50.37,6.52,68.76
17.9,8.37,0.5,0.384,64.25,19.43,52.31,8.11,7.37
141.21,70.7,32.41,3.392,104.51,38.12,64.74,4.78,99.24
204.27,95.32,46.31,4.544,116.21,30.0,66.26,2.91,133.04
109.28,58.44,27.84,2.73,87.06,28.19,61.91,6.83,60.34
235.33,104.13,53.9,5.193,106.99,32.58,59.48,2.06,129.97
145.42,69.77,33.51,3.203,100.94,24.22,65.13,4.61,102.22
6.71,11.92,4.0,0.29,69.13,20.75,58.73,8.54,4.92
169.35,86.16,39.98,4.128,105.68,29.26,52.48,3.86,125.91
250.24,114.47,57.62,5.557,111.48,36.47,42.91,3.46,134.46
76.05,32.23,18.39,1.716,81.02,27.37,42.98,7.84,51.63
228.99,109.58,52.5,5.208,111.8,30.27,44.35,1.78,94.7
80.33,43.88,20.31,1.902,79.63,25.12,56.97,6.49,42.69
19.1,17.98,4.08,0.6,66.38,20.9,61.67,8.98,8.55
253.36,113.91,57.01,5.532,115.37,29.06,54.08,1.22,145.06
148.81,77.67,31.62,3.327,80.44,33.4,67.02,4.76,79.06
109.4,53.11,24.32,2.364,94.72,25.01,52.72,4.88,71.02
20.35,6.8,4.83,0.653,65.45,26.57,62.37,7.8,11.64
198.32,95.22,48.53,4.287,110.69,30.16,48.16,3.94,113.26
252.43,117.27,57.39,5.503,106.16,36.96,51.42,2.96,151.56
111.34,51.76,24.19,2.33,89.2,19.29,55.58,6.83,60.94
18.51,11.04,6.65,0.372,60.24,21.63,72.58,10.26,11.83
196.42,88.09,42.91,4.449,111.57,35.77,51.94,4.32,133.62
135.13,67.86,31.95,2.921,94.2,26.35,70.47,4.34,81.39
132.09,70.23,31.14,3.234,94.98,24.15,60.08,5.12,90.6
156.44,82.69,35.06,3.692,98.82,24.76,62.27,5.11,105.17
92.93,53.03,16.49,2.099,69.51,27.16,64.57,6.64,66.64
206.24,97.83,46.48,4.525,85.47,29.65,41.66,4.39,107.95
182.35,93.55,43.62,4.405,102.08,38.17,60.68,3.93,100.99
131.97,63.65,29.83,3.023,95.86,29.2,63.55,5.47,69.66
89.22,37.39,19.25,1.784,64.96,18.55,56.87,7.31,56.22
57.09,26.01,14.9,1.557,88.98,22.93,70.75,7.03,41.52
62.84,31.9,14.29,1.36,82.37,25.85,59.27,8.42,29.2
52.61,17.58,13.22,1.029,74.72,18.96,44.22,7.56,25.46
225.76,100.59,52.06,5.162,119.37,34.06,60.4,3.52,126.37
27.53,16.42,3.15,0.51,60.32,19.78,63.82,8.29,15.6
46.88,20.56,9.08,1.055,77.03,20.8,52.11,7.55,30.49
118.13,53.41,27.14,2.233,91.31,19.6,58.98,4.92,51.19
144.04,52.78,33.39,3.122,85.86,30.1,56.46,4.39,95.78
192.19,96.38,42.14,4.177,88.51,35.22,31.2,3.84,92.16
245.12,111.19,59.6,5.728,135.88,30.09,61.96,1.73,113.17
56.34,33.64,13.57,1.235,71.61,21.78,68.11,6.89,27.36
236.47,110.67,52.53,5.635,109.73,41.2,59.08,3.36,155.81
156.86,75.2,40.44,3.758,87.58,29.59,69.01,4.08,95.62
99.52,45.69,21.01,2.327,85.7,33.89,69.51,6.3,63.84
112.09,49.46,24.24,2.305,87.42,27.08,58.13,6.04,75.81
202.56,88.08,43.02,4.585,108.02,28.18,45.6,2.86,119.62
24.67,11.52,5.66,0.518,53.64,24.42,72.16,8.86,11.44
46.54,21.53,12.84,0.769,66.49,27.3,59.62,7.37,23.99
61.33,29.04,17.43,1.287,67.84,17.49,56.81,8.34,30.03
150.27,75.12,34.5,3.451,98.78,24.74,64.2,5.24,105.54
42.47,18.68,9.69,1.081,74.99,24.76,66.62,7.78,20.54
143.64,68.34,36.01,3.577,103.11,32.87,45.26,4.35,57.83
236.03,109.58,53.57,5.283,111.8,35.85,39.45,2.34,105.42
166.51,79.04,33.98,3.581,97.79,24.75,53.75,3.96,96.72
200.55,92.46,46.01,4.401,114.25,33.6,51.65,2.68,95.59
155.72,77.63,34.08,3.565,95.27,24.4,53.11,4.98,72.65
121.38,58.57,28.39,2.94,99.6,31.17,57.06,5.3,79.57
177.91,77.62,41.05,3.823,95.27,28.1,45.75,4.63,114.51
209.15,96.94,45.44,4.469,106.4,29.08,49.75,3.66,88.75
25.12,20.88,9.06,0.746,68.39,18.69,38.92,8.01,11.02
216.12,106.37,52.96,5.302,112.15,27.13,42.91,2.9,111.8
17.0,6.07,4.44,0.328,53.67,20.83,59.42,9.32,8.01
106.44,49.47,25.87,2.481,85.5,25.46,51.07,4.89,63.24
211.52,93.73,45.58,4.494,105.15,25.59,51.83,1.72,91.71
25.07,12.44,4.06,0.469,56.77,23.09,61.66,9.06,10.38
21.39,13.26,5.0,0.36,68.74,20.19,60.54,10.11,16.1
193.85,91.97,43.94,4.296,88.69,29.94,63.63,2.7,100.42
74.06,34.54,17.9,1.762,86.23,21.12,42.84,5.61,36.28
208.81,90.64,46.58,4.65,98.71,35.24,41.99,3.74,88.77
122.66,59.89,25.08,2.609,81.26,32.99,57.24,5.39,67.89
235.27,109.24,52.3,5.446,112.82,39.32,49.44,3.06,156.36
198.5,89.49,40.63,4.244,104.46,29.07,38.94,3.03,91.1
224.46,99.89,44.31,4.851,101.37,32.74,55.77,2.48,159.19
227.22,103.34,50.3,5.346,103.55,38.99,42.73,3.17,131.51
207.03,106.45,48.18,4.628,103.34,33.15,63.3,1.67,124.03
236.62,104.91,54.51,5.494,121.81,26.93,31.08,2.29,145.46
106.87,59.07,24.38,2.255,96.07,30.72,60.06,5.72,52.86
112.65,60.64,30.03,2.568,94.08,28.28,51.13,7.15,76.5
21.82,10.93,2.78,0.509,71.99,17.87,48.96,8.78,14.8
38.6,17.57,6.41,0.446,75.13,19.72,64.6,9.43,22.68
131.25,66.83,32.09,2.936,84.66,31.41,61.87,6.18,87.29
220.3,104.63,49.71,4.933,109.42,32.44,47.31,3.58,115.6
63.99,32.9,15.06,1.466,85.36,24.83,61.97,6.81,29.99
223.17,110.94,53.65,5.272,107.28,34.09,38.02,2.64,93.69
34.75,23.11,12.1,0.766,82.46,19.28,76.8,7.46,21.41
235.67,102.25,49.07,5.021,102.89,29.83,36.24,2.26,135.5
33.5,18.78,11.1,0.716,73.99,17.04,75.12,7.88,15.11
183.64,77.68,43.03,4.094,101.02,29.53,53.13,4.4,99.58
126.42,51.26,30.38,2.908,75.49,30.49,60.65,3.99,55.29
160.77,82.2,36.33,3.68,81.92,29.04,46.18,5.06,107.79
15.11,13.65,4.97,0.325,59.51,19.38,64.2,9.0,10.92
200.8,87.28,41.63,4.351,110.69,36.23,48.68,3.24,92.8
88.17,38.84,18.52,1.862,88.67,23.87,61.98,7.27,59.04
179.79,76.64,35.92,3.769,86.96,32.14,52.28,3.69,101.06
123.77,62.49,30.97,2.722,88.57,28.55,59.39,6.77,58.91
162.76,76.42,33.57,3.587,95.48,25.38,61.62,4.69,70.21
193.7,89.24,45.82,4.289,96.79,31.31,44.43,5.09,93.61
104.71,51.32,21.36,2.319,88.04,25.13,57.64,6.38,67.22
156.29,78.4,40.85,3.587,84.8,26.82,62.22,5.31,80.94
123.54,53.56,26.72,2.775,90.6,25.96,63.35,5.22,54.76
30.51,20.35,6.72,0.759,76.12,23.03,67.67,9.0,17.78
60.59,34.43,13.73,1.375,76.58,24.17,74.66,9.02,29.54
177.25,90.74,38.89,4.154,100.5,33.61,50.89,2.79,78.93
