PM10,NO2,SO2,CO,O3,temperature,humidity,wind_speed,PM2.5
107.17,49.51,28.88,2.692,94.65,24.68,54.89,6.93,63.96
149.43,66.21,33.43,3.036,99.57,28.86,56.69,4.06,89.75
208.7,97.12,45.72,4.512,111.57,38.3,57.09,4.12,111.96
127.34,64.69,30.43,2.908,97.07,35.53,62.62,6.03,66.23
108.66,44.02,20.53,2.178,95.5,28.85,56.85,5.53,61.01
154.25,70.45,33.68,3.642,91.59,33.84,60.96,4.86,102.04
146.97,68.11,32.87,3.174,78.77,23.95,64.22,4.33,85.55
237.69,107.79,51.62,5.189,96.94,36.2,45.06,3.36,161.99
26.4,8.18,2.24,0.244,84.37,22.25,65.99,7.9,12.76
213.27,101.69,50.9,4.84,107.15,30.07,54.52,3.2,149.26
242.45,115.13,59.72,5.551,105.6,38.73,41.37,1.88,146.49
241.52,105.42,53.7,5.233,93.54,32.46,51.78,1.92,108.79
115.98,48.98,27.81,2.546,97.84,19.1,62.07,7.0,78.33
148.0,65.33,29.11,3.407,94.11,32.99,47.47,5.4,85.8
213.02,103.1,50.85,4.673,99.14,33.73,51.65,3.12,128.9
140.84,68.29,32.53,2.905,102.22,29.73,64.91,6.38,61.78
155.08,68.62,31.69,3.281,103.66,24.68,43.17,5.61,69.08
88.24,42.13,20.39,2.066,88.21,32.04,54.67,6.8,60.32
84.74,40.4,22.03,1.636,81.59,19.27,72.55,8.41,43.73
27.55,12.23,1.95,0.641,69.04,17.49,56.78,8.35,17.89
73.37,30.46,16.78,1.515,79.5,20.03,54.19,7.47,46.53
53.85,25.96,18.61,1.499,78.54,21.75,58.5,8.16,24.78
197.24,91.7,43.68,4.423,94.2,28.99,50.19,3.82,137.27
249.53,120.0,60.46,5.702,120.23,33.77,38.81,1.75,110.04
65.69,26.88,12.82,1.177,86.23,27.71,58.97,8.47,38.25
188.36,84.47,41.26,4.315,100.46,26.82,54.82,2.76,122.9
62.43,30.55,14.75,1.377,77.67,21.52,65.64,7.63,32.02
29.21,21.31,8.27,0.934,76.49,28.69,63.47,8.43,18.34
162.98,85.69,39.69,3.905,99.27,28.46,51.93,3.51,85.88
215.08,112.08,52.75,5.198,101.99,34.24,36.15,2.42,156.94
159.41,72.3,37.55,3.433,100.09,23.99,55.1,6.52,105.78
160.87,74.89,34.28,3.71,94.78,31.43,54.74,4.39,90.67
42.27,20.35,12.01,0.908,79.87,29.61,71.54,6.76,23.74
238.57,115.81,57.2,5.53,117.08,36.15,54.04,1.6,135.52
118.8,54.5,25.47,2.704,86.7,30.64,62.7,5.25,76.67
162.35,84.76,38.31,3.967,91.26,27.15,32.7,4.29,113.75
125.73,55.34,26.71,2.646,85.37,29.26,46.52,6.56,93.13
218.45,112.68,54.92,5.432,115.9,32.44,34.64,2.56,153.9
79.44,40.07,17.27,1.788,72.12,28.41,65.04,8.31,44.69
214.77,102.99,49.89,4.622,97.58,40.53,35.95,3.03,108.94
178.03,91.53,39.83,3.882,101.44,27.58,57.74,3.39,82.04
40.01,19.05,8.44,0.78,70.99,22.77,69.69,8.48,16.07
222.76,107.76,51.51,4.936,108.18,39.82,48.26,2.39,128.97
160.09,78.29,37.0,3.608,109.03,31.78,63.35,4.42,106.74
230.62,108.37,52.76,5.295,124.0,28.03,40.42,2.83,147.74
28.26,15.77,6.17,0.598,65.07,18.12,80.84,8.9,14.17
78.44,33.62,14.15,1.424,80.77,23.93,62.13,6.91,44.26
81.62,42.97,19.52,1.983,80.8,25.94,70.34,7.81,39.51
125.95,60.35,27.26,2.788,92.4,33.8,64.05,5.08,86.84
146.15,63.39,30.44,3.024,79.3,29.76,66.3,4.66,70.94
135.43,63.59,33.4,3.011,84.55,32.88,52.21,4.64,66.64
246.57,107.79,55.62,5.253,111.06,32.98,41.4,2.61,174.23
97.61,59.61,23.91,2.371,78.48,28.18,59.51,7.74,53.77
208.53,108.73,47.2,4.652,102.43,44.16,34.69,2.45,125.45
169.11,77.89,39.37,3.855,82.83,33.98,54.89,5.75,113.43
50.43,29.05,11.93,0.896,72.21,25.55,71.92,6.33,28.09
110.16,48.83,20.18,2.403,81.72,28.97,54.02,7.73,57.96
137.41,66.06,33.53,3.261,85.68,31.73,56.16,3.56,73.05
104.52,46.98,19.87,2.11,69.95,29.12,42.6,6.09,53.27
189.81,86.06,39.39,4.326,91.88,34.47,54.53,4.61,134.11
70.73,33.71,15.76,1.765,80.31,21.93,72.85,7.37,49.91
215.11,97.78,51.61,5.114,116.02,39.28,41.04,2.42,97.73
128.25,57.59,28.88,2.973,77.32,28.48,68.93,5.19,61.7
10.04,10.24,2.23,0.33,75.14,23.84,73.0,9.91,3.41
165.29,85.69,38.84,3.81,92.59,32.52,48.31,5.87,119.47
