PM10,NO2,SO2,CO,O3,temperature,humidity,wind_speed,PM2.5
86.49,43.06,20.91,2.075,79.14,17.96,56.42,6.65,44.19
92.81,39.09,22.65,1.916,76.59,33.69,57.69,7.13,46.96
153.97,69.15,32.17,3.203,93.67,17.2,66.23,3.99,96.22
225.8,106.18,54.24,5.183,117.88,31.0,51.48,3.26,158.68
41.66,23.93,13.31,0.904,73.77,23.77,61.45,6.62,22.6
140.32,66.29,32.04,3.077,95.81,30.85,45.57,4.98,99.16
69.69,30.36,11.88,1.225,85.64,24.17,61.74,9.07,40.16
251.07,121.11,62.25,5.587,116.55,38.78,40.78,2.3,144.47
108.9,45.87,22.86,2.178,84.47,20.38,66.24,6.0,74.95
161.8,78.83,35.21,3.713,86.31,27.83,58.7,5.05,66.35
234.33,116.18,52.27,5.751,104.93,31.87,54.25,1.28,123.75
20.78,15.75,5.48,0.368,62.62,18.13,58.48,8.64,12.02
50.12,28.99,10.65,0.869,72.77,21.05,75.3,8.27,22.68
126.5,69.79,27.31,2.845,90.83,31.36,55.06,5.31,59.3
166.24,82.45,38.89,3.773,101.15,37.29,54.89,3.49,100.54
110.08,55.69,25.71,2.382,79.7,22.19,57.29,5.64,52.45
85.7,42.81,23.58,1.942,59.76,15.87,54.58,8.0,55.61
237.66,115.05,56.42,5.751,109.76,38.42,47.35,0.72,134.6
199.71,101.04,50.67,4.855,89.43,33.22,45.99,3.11,100.86
238.98,112.98,54.21,5.408,110.84,32.4,39.65,2.86,158.85
180.27,79.5,38.52,3.786,100.39,32.96,49.14,4.12,99.29
81.05,38.91,14.88,1.777,67.49,26.23,38.7,8.32,53.7
179.61,87.22,36.89,3.727,95.84,28.87,48.77,4.7,81.4
78.3,33.91,16.08,1.554,83.1,25.62,63.0,5.63,47.78
162.25,70.0,40.01,3.675,107.1,34.93,57.86,3.06,83.02
176.81,86.25,39.77,4.3,113.65,29.32,48.14,4.48,87.09
82.31,33.6,16.81,1.683,74.17,27.07,66.7,7.97,52.94
237.72,111.04,57.25,5.592,106.67,35.66,51.02,1.52,171.34
28.94,20.73,6.01,0.85,84.49,13.4,59.74,9.09,18.66
65.94,42.25,16.97,1.72,74.22,27.55,48.84,7.02,45.99
229.58,101.34,50.85,5.09,109.91,31.96,44.24,3.51,151.53
133.14,64.95,31.47,2.772,96.64,24.39,54.31,5.31,85.71
16.05,8.99,0.5,0.171,51.12,14.91,70.91,9.92,5.93
89.04,31.05,19.34,1.586,81.21,22.76,53.03,6.91,58.61
50.34,23.54,15.82,1.062,72.94,21.9,49.96,7.62,35.22
69.61,30.24,13.86,1.111,71.74,15.72,62.1,8.27,43.19
195.83,102.35,44.0,4.38,98.22,34.66,63.39,2.77,139.14
137.3,65.36,33.7,3.124,91.84,34.19,47.78,5.65,64.15
229.19,107.83,51.69,5.33,98.93,37.38,55.46,2.49,165.42
56.75,19.83,15.17,1.252,49.51,18.55,62.43,7.39,21.85
237.58,109.42,51.42,5.162,106.64,42.17,30.09,1.17,142.0
35.97,15.92,7.4,0.388,69.96,18.03,55.91,7.47,26.62
166.03,82.19,40.78,3.998,93.54,29.28,49.32,4.2,91.6
22.95,22.92,8.26,0.78,64.7,19.95,57.62,8.6,11.91
36.67,8.71,9.07,0.716,53.73,18.16,79.26,7.45,25.3
38.52,25.78,15.96,1.129,85.43,21.83,60.71,6.93,16.08
16.68,15.17,4.3,0.326,79.44,15.04,69.91,8.13,12.82
108.34,50.38,24.14,2.339,110.63,15.06,64.76,6.91,76.94
207.59,101.05,47.72,4.663,95.95,31.79,67.38,2.1,115.74
118.32,52.62,24.28,2.633,77.96,28.85,63.99,5.68,73.35
218.49,107.54,48.98,4.889,112.56,35.58,51.51,4.19,142.74
250.96,113.36,54.12,5.522,110.04,39.9,49.86,2.44,174.51
216.53,101.69,49.86,4.802,104.87,32.46,42.76,4.66,152.18
148.33,70.84,33.49,3.241,105.24,28.06,61.13,5.26,81.69
114.97,53.37,31.01,2.701,87.31,26.02,51.75,6.01,80.94
186.62,94.24,40.59,4.102,101.86,38.2,57.98,4.04,90.48
225.11,99.73,51.55,4.977,105.53,32.89,29.64,1.61,160.03
124.06,59.25,25.63,2.618,90.36,30.0,53.07,6.0,87.81
229.15,114.34,53.17,4.951,114.11,31.64,36.32,2.94,141.99
46.18,23.23,11.66,0.841,69.71,23.25,55.47,8.08,25.01
127.95,56.2,28.53,2.839,100.19,26.09,77.35,4.3,58.83
152.31,75.29,38.48,3.653,86.84,25.2,55.95,3.99,87.92
242.63,113.14,56.18,5.458,103.18,35.46,60.44,3.39,123.27
144.29,65.37,33.7,3.262,94.62,28.08,52.72,5.61,104.67
216.3,101.61,49.98,4.982,106.06,32.67,51.54,2.12,129.71
30.97,10.07,7.34,0.592,79.01,21.46,70.89,9.05,16.13
242.29,111.56,57.91,5.516,96.12,32.39,52.77,1.93,161.5
212.58,94.83,48.37,4.586,109.55,31.65,57.97,3.79,153.28
236.25,109.77,54.75,5.193,110.39,31.79,56.22,3.32,162.27
108.24,57.48,24.67,2.348,78.77,25.23,52.79,5.95,76.62
242.81,110.14,57.97,5.34,118.32,33.74,51.97,2.53,131.44
194.74,93.55,40.94,4.545,98.03,36.02,47.85,3.51,80.08
44.31,17.9,7.47,0.696,70.54,29.61,56.7,8.99,27.13
95.79,45.41,19.27,1.981,88.51,28.74,51.33,5.5,68.56
174.59,83.03,43.86,4.032,85.75,33.31,54.09,2.74,91.96
184.78,83.5,42.31,4.423,110.51,27.28,49.39,3.82,127.33
186.45,89.79,38.98,4.088,104.55,30.09,51.58,3.87,97.45
217.77,100.65,48.57,5.042,111.77,29.27,36.86,2.57,129.67
144.46,66.91,33.03,3.386,90.3,30.82,52.59,4.76,91.09
15.33,12.78,0.98,0.36,54.11,19.2,55.13,8.67,7.6
139.45,63.43,35.61,3.286,86.95,31.75,46.07,4.73,87.16
89.67,41.35,19.88,2.327,88.77,21.66,58.73,5.88,54.28
204.45,94.24,50.36,4.844,113.32,34.28,54.57,2.99,84.76
152.49,66.94,32.66,3.097,110.9,22.33,63.33,5.6,83.67
59.32,25.91,14.02,1.054,63.58,25.67,70.09,7.7,28.6
67.54,34.32,15.94,1.477,68.29,21.66,59.05,6.99,43.8
27.77,19.37,8.69,0.544,73.14,14.63,59.54,9.02,13.34
257.89,111.07,58.68,5.529,122.44,38.23,31.09,1.61,122.1
223.05,97.32,49.18,5.058,105.12,31.7,39.78,3.26,96.67
97.55,54.33,24.52,2.382,88.71,23.77,52.63,6.82,51.46
164.58,73.82,37.02,3.752,101.65,35.48,59.63,4.99,109.58
134.61,63.67,29.89,3.209,93.22,30.01,61.42,6.53,63.36
232.86,109.14,54.08,5.157,121.65,41.73,42.43,2.5,154.46
145.94,67.43,33.23,3.325,88.78,30.83,64.23,4.03,88.52
126.68,54.42,24.99,2.526,96.2,28.23,69.27,6.7,73.77
187.84,84.4,43.23,4.445,109.29,24.89,57.09,2.77,102.84
104.3,43.9,22.75,1.901,77.69,27.36,60.91,6.52,72.89
254.64,118.22,55.6,5.856,106.33,39.63,42.46,1.91,135.35
21.4,7.61,3.64,0.351,67.24,26.15,41.15,9.84,12.1
88.51,48.33,20.63,1.832,80.06,25.83,61.61,6.77,49.74
113.26,47.18,21.38,2.123,82.82,20.45,49.64,5.43,55.02
134.85,58.93,30.99,2.939,82.26,27.28,47.5,5.37,72.52
143.45,62.42,30.87,3.134,94.78,31.24,52.14,5.84,71.85
49.51,26.44,10.78,0.919,67.06,21.99,54.27,7.29,27.72
55.63,33.89,13.83,1.134,77.71,32.59,69.35,8.01,24.17
230.08,112.68,54.24,5.256,98.2,39.37,49.31,2.64,118.67
32.6,12.76,6.63,0.536,82.87,18.09,72.57,8.29,15.52
62.33,42.78,17.17,1.333,61.37,31.32,36.84,7.82,34.04
115.0,54.53,24.97,2.612,85.14,25.73,53.23,5.25,56.98
173.58,85.49,43.3,4.028,103.78,36.65,59.82,4.88,87.27
102.45,42.88,24.65,2.242,95.85,28.1,64.89,7.33,68.87
228.82,107.34,48.61,5.028,118.57,31.57,60.82,2.38,159.75
17.62,9.22,6.54,0.345,79.07,23.65,61.92,10.03,6.99
211.76,98.46,47.39,4.686,100.19,34.69,61.51,3.58,105.6
69.76,30.07,20.3,1.561,70.56,23.06,52.15,7.42,47.61
60.34,34.34,15.09,1.518,67.48,16.52,65.32,6.79,27.12
110.69,47.29,26.12,2.497,81.65,31.41,50.4,5.06,55.45
22.32,12.4,6.24,0.715,62.65,18.5,48.0,8.44,15.45
183.56,99.99,42.47,4.103,98.76,30.01,56.22,3.91,108.31
195.46,88.72,44.99,4.267,112.65,33.62,47.73,3.82,91.01
